"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez_id","rank_metric"
"ENSG00000062038.14",3108.25962668794,5.74606171142782,0.132190680743054,43.4679788251998,0,0,"1001",Inf
"ENSG00000157131.11",24.8339777055404,42.4206748841743,0.813199043037334,52.1651805266903,0,0,"731",Inf
"ENSG00000167767.14",1374.41235965713,6.63397117766971,0.162039845023607,40.940369800423,0,0,"144501",Inf
"ENSG00000175832.13",3705.89695157568,5.2618304329318,0.132839506304195,39.6104335172889,0,0,"2118",Inf
"ENSG00000164379.7",2364.92187493345,6.39026733118571,0.179782113054008,35.5445112009893,1.01003033010719e-276,7.85157177412124e-273,"94234",275.995665584633
"ENSG00000164283.13",241.613553339665,5.52376331791094,0.1613134339755,34.2424259516407,5.65417145852465e-257,3.66277227083227e-253,"11082",256.247631025991
"ENSG00000159263.16",361.441709311327,7.8377208624315,0.229209346673331,34.1945953609031,2.90925051019682e-256,1.61538212614757e-252,"6493",255.536218880846
"ENSG00000163347.6",3288.92416250884,4.78087448796821,0.146149482605994,32.7122231479738,1.04672645675601e-234,5.08552049014907e-231,"9076",233.980166798591
"ENSG00000103888.17",4614.41099086797,5.17732945652632,0.161530581287624,32.0516982930153,2.0789264065762e-225,8.97819017453376e-222,"57214",224.682160884302
"ENSG00000129474.16",811.802903400583,2.94512785427791,0.0951272743661298,30.9598679653385,1.87130042098115e-210,7.27337047626955e-207,"84962",209.727856484707
"ENSG00000105464.3",1340.75472181962,4.98954116191184,0.161888508609309,30.8208482786957,1.37757177917132e-208,4.8675872648028e-205,"2906",207.860885762722
"ENSG00000105989.10",316.939998414557,5.44789693653859,0.177495724628425,30.69311640009,7.03240407843951e-207,2.27779568100656e-203,"7472",206.152896182872
"ENSG00000120254.16",1687.71031663635,2.32339203297827,0.078204288101764,29.7092664529462,5.8291508056116e-194,1.74282641163471e-190,"25902",193.234394708929
"ENSG00000050344.9",2817.52505588473,2.70429188339478,0.0949449888353926,28.4827236968056,1.91756091603425e-178,5.32369697745852e-175,"9603",177.717250830728
"ENSG00000178773.15",1094.92469577282,5.77657595035012,0.208245137379426,27.7393077362719,2.34514365179465e-169,5.69694021612215e-166,"27132",168.629830549422
"ENSG00000101255.11",2857.36442329618,3.81022884446293,0.141981449200143,26.8361033496135,1.22543999960772e-158,2.64613343915295e-155,"57761",157.911707947959
"ENSG00000181577.16",1315.8063041231,4.54925214800847,0.169952113278868,26.7678468966359,7.65414531412251e-158,1.56579642141744e-154,"221416",157.116103296943
"ENSG00000214039.9",690.806067720322,8.18588557976818,0.307574395191409,26.614327160341,4.63400512410828e-156,8.57688148399241e-153,"100190940",155.334043490319
"ENSG00000170373.8",961.272873300131,8.31268254311626,0.312895211274379,26.5669855069365,1.63469699206787e-155,2.88806375853155e-152,"1469",154.786562736501
"ENSG00000172031.7",255.318388117156,4.38862437322209,0.16550055964945,26.5172781440602,6.12674940387278e-155,1.03536737317273e-151,"253152",154.212769882805
"ENSG00000101187.16",2305.11777534997,3.5522935988656,0.136280383262975,26.0660669849371,8.845844386259e-150,1.40465118651291e-146,"28231",149.053260704892
"ENSG00000281406.2",303.768896756024,5.03210609581741,0.193354685898076,26.0252606366623,2.56447367244165e-149,3.83369087309469e-146,"101669762",148.591001755156
"ENSG00000123500.10",885.264662764269,7.83433491496113,0.302048269593105,25.9373606924314,2.52514169718261e-148,3.63508175874421e-145,"1300",147.597714246623
"ENSG00000101115.13",210.07618414768,5.02956302308891,0.194556146960055,25.8514732208464,2.34204645984167e-147,3.13898833796986e-144,"57167",146.630404493955
"ENSG00000173898.14",1576.30870773864,3.08627881506413,0.119744509845883,25.7738648647552,1.7414471521491e-146,2.25621893032438e-143,"6712",145.759089700579
"ENSG00000139515.6",629.086744650033,4.67717819721619,0.182832202116772,25.5818074883162,2.43177427166118e-144,2.95369382471646e-141,"3651",143.614076740716
"ENSG00000137673.9",2250.34702858773,7.02243385034182,0.277257115834684,25.3282366773554,1.56118874859518e-141,1.7847142435411e-138,"4316",140.806544587317
"ENSG00000122641.11",1390.87921108372,5.2203489467541,0.20665189163743,25.2615589694827,8.45435080232495e-141,9.38867734242189e-138,"3624",140.072919735647
"ENSG00000060718.22",1381.11728928806,6.30512788859343,0.250419503539046,25.1782620741851,6.9318648199735e-140,7.48410338396472e-137,"1301",139.159149915161
"ENSG00000167755.15",564.926578311429,9.72862966402033,0.387008833282709,25.1380041677591,1.91162320120815e-139,2.0081343401232e-136,"5653",138.718597707124
"ENSG00000254166.3",1156.10745434533,4.4713392677847,0.180566190087989,24.7628820523146,2.25254885597049e-135,2.30400181404898e-132,"103164619",134.647325780749
"ENSG00000165905.18",1455.26288488579,4.47022532634159,0.181199938733946,24.6701260363292,2.23853663757326e-134,2.2309600520307e-131,"120071",133.650035793232
"ENSG00000265688.2",198.261496688296,3.01823822499555,0.122561772750459,24.6262611682421,6.61133734123256e-134,6.42423649447568e-131,"92659",133.179710682546
"ENSG00000108244.17",1848.18507845172,7.4037747857915,0.301607804898146,24.5476896338667,4.57781778079241e-133,4.33977125619121e-130,"25984",132.339341498331
"ENSG00000115507.10",97.9322917869752,5.63260949413842,0.230605670516528,24.4252861671705,9.21516614612787e-132,8.52797804208805e-129,"5013",131.035496830201
"ENSG00000157193.18",658.268916888056,2.9002429305623,0.119116999951326,24.3478506992907,6.10932082970551e-131,5.52225772113939e-128,"7804",130.214007067385
"ENSG00000203499.12",1219.61891358434,2.84542384425895,0.117729920851872,24.169079734956,4.70534580148038e-129,4.06416401359866e-126,"642574",128.327408454244
"ENSG00000071539.14",927.46117616103,2.18645267425024,0.091062941613166,24.0103453228895,2.16834075510108e-127,1.79317166955891e-124,"9319",126.663872467322
"ENSG00000112559.15",502.588580257913,3.60402645034629,0.150222614687352,23.9912376565079,3.43272617557884e-127,2.77965002067497e-124,"4188",126.464360838339
"ENSG00000185269.12",2753.02479181974,8.80425075139166,0.367283202951428,23.9712861373516,5.54361297339414e-127,4.3973295724466e-124,"147111",126.25620709755
"ENSG00000171617.14",5618.56776423432,1.99114791045824,0.0831196670907962,23.9551959259317,8.15710396217822e-127,6.34100633603886e-124,"8507",126.08846400258
"ENSG00000245694.10",247.285661007543,4.68731426807992,0.195928118052501,23.9236425821429,1.73843680577857e-126,1.32489336798042e-123,"643911",125.759841091809
